id,floor,number_of_floors,area,room_size (m2),"bts_distance(km)
",fitness,swimming _pool,department_store_distance (km),express_way_distance (km), security_guard,keycard,cctv,face_recognition,maintenance_fee,number_of_bedroom,number_of_bathroom,land_appraisal_prices, construction_year,price
Condo01,5,8,Chatuchak,26,2.8,1,0,2.5,15,1,1,1,0,1000,1,1,250000,2556,1500000
Condo02,6,8,Bang Na,26,0.8,1,1,4,1,1,1,1,0,1200,1,1,111000,2559,2400000
Condo03,5,10,Ramintra,43,10,1,1,15,4,1,1,1,0,1200,1,1,120000,2561,3000000
Condo04,17,34,Samrong,35,0.1,1,1,0.1,1,1,1,1,1,1000,1,1,100000,2561,2700000
Condo05,6,7,Laksi,41,1,1,1,1,2,1,1,1,1,1200,1,1,140000,2561,2800000
Condo06,8,26,Phaya Thai,34,240,1,1,0.15,7.4,1,1,1,0,16320,1,1,200000,2556,4480000
Condo07,3,8,Sukhumvit 42,45,0.36,1,1,0.4,1.7,1,1,1,0,19440,1,1,250000,2552,4900000
Condo08,17,30,Phaya Thai,83,1.3,1,1,3.4,1,1,0,1,0,3320,2,2,84668,2555,9900000
Condo09,12,22,Phaya Thai,37,0.35,1,1,1.3,7,0,0,1,0,22200,1,1,128000,2555,7900000
Condo10,4,8,Phasi Charoen,22.56,4.8,1,1,4.2,18,0,0,1,0,786,1,1,52000,2559,1350000
Condo11,8,30,Thonburi,33,1.1,1,1,900,7.9,1,0,1,0,1023,1,1,69697,2557,2300000
Condo12,28,30, Mueang Samut Prakan,28.5,0.5,1,1,5.9,16.4,0,1,1,0,15660,1,1,94178,2558,2750000
Condo13,8,8,Bangkok Yai,28.46,2.7,1,1,2.9,8.5,1,1,1,0,360,1,1,125833,2555,1650000
Condo14,2,22,Bangkok Yai,27,2.2,1,1,2,5.3,1,0,1,0,1215,1,1,125833,2559,2900000
Condo15,10,22,Bangkok Yai,34,2.1,1,1,2,5.3,1,0,1,0,1530,1,1,125833,2559,4491000
Condo16,22,22,Bangkok Yai,63,2.1,1,1,2,5.3,1,0,1,0,2835,1,1,125833,2559,6500000
Condo17,11,33,Phasi Charoen,34.5,6.7,1,1,1,6.7,1,1,0,0,15000,1,1,83000,2558,29000000
Condo18,6,33,Phasi Charoen,51,6.7,1,1,1,10,1,1,0,0,15000,2,1,78780,2558,3978400
Condo19,8,8,Bang Khae,27,1,1,1,1.5,13,1,1,1,0,12312,1,1,55556,2553,1500000
Condo20,5,8,Bang Khae,30.5,1,1,1,1.5,13,1,1,1,0,13908,1,1,64262,2553,1960000
Condo21,11,24,Bang Khae,53750,9.8,1,1,1.7,12.6,1,1,1,0,12000,1,1,1290000,2558,1290000
Condo22,7,18,Rama 2,27,20,1,1,0.8,6.4,1,1,1,0,4000,1,1,77000,2562,1800000
Condo23,1,8,Phasi Charoen,34,2,1,1,3,8,1,1,1,0,12000,1,1,120000,2559,1800000
Condo24,7,30,Phasi Charoen,27.8,1.3,1,1,1.5,10.2,1,1,1,0,55,1,1,103900,2561,2890000
Condo25,3,8,Chatuchak,22,1.1,1,1,3.8,4.8,1,1,1,0,1100,3,1,79090,2561,1740000
Condo26,4,8,Bang Khen,23,0.3,1,1,1.5,5.4,1,1,1,0,1035,1,1,73600,2562,1590000
Condo27,10,26,Phasi Charoen,23,0.3,1,1,0.1,14.7,1,1,1,0,805,1,1,85000,2559,2200000
Condo28,3,8,Suan Luang,26.5,2.3,1,1,0.9,5.1,1,1,1,0,1511,1,1,86000,2562,1890000
